,Date,Audience,Creative_Family,Creative_Version,Platform,Ad_Format,Campaign Traffic,Total_Sessions,Total_Bounces,Total_Duration,Days away from max date,Latest report?,Target_Groups
2773,2022-05-28,3,CloserTwins,Cutdown,LinkedIn,Video,Campaign,1,0,0,156,0,1
2774,2022-07-25,4,CloserTwins,Competitors,Domain Display,,Campaign,2,0,0,98,0,2
2775,2022-06-13,5,UnfairAdvantage,NaN,Domain Display,Single image,Campaign,3,0,0,140,0,2
2776,2022-08-21,4,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,1,0,0,71,0,2
2777,2022-10-22,3,UnfairAdvantage,OnePage,Domain Display,,Campaign,2,0,0,9,1,1
2778,2022-10-19,4,UnfairAdvantage,NaN,Domain Display,Single image,Campaign,6,0,0,12,1,2
2779,2022-05-17,2,CloserTwins,Cutdown,Domain Display,Video,Campaign,2,0,0,167,0,1
2780,2022-08-27,5,CloseFaster,FasterAll,Domain Display,,Campaign,3,0,0,65,0,2
2781,2022-06-05,1,CloserTwins,Cutdown,Domain Display,Video,Campaign,2,0,0,148,0,1
2782,2022-05-19,5,CloseFaster,FasterAll,Domain Display,,Campaign,6,0,0,165,0,2
2783,2022-07-22,5,CloserTwins,Competitors,Domain Display,,Campaign,1,0,0,101,0,2
2784,2022-04-22,3,CloserTwins,Cutdown,Domain Display,Video,Campaign,1,0,0,192,0,1
2785,2022-05-18,6,Trade Media Ads,NaN,Trade Media,National_mortgage_news,Campaign,1,0,0,166,0,3
2786,2022-07-31,1,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,11,0,0,92,0,1
2787,2022-09-09,4,Others,ad1,LinkedIn,,Campaign,8,0,40,52,0,2
2788,2022-06-25,4,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,7,0,0,128,0,2
2789,2022-05-20,2,CloserTwins,Namaste,Facebook,Video,Campaign,1,0,0,164,0,1
2790,2022-10-04,5,CloseFaster,MoreAll,Domain Display,,Campaign,3,0,0,27,0,2
2791,2022-08-28,1,UnfairAdvantage,OnePage,User ID Display,,Campaign,1,0,0,64,0,1
2792,2022-10-13,2,UnfairAdvantage,NaN,User ID Display,Single image,Campaign,18,0,0,18,0,1
2793,2022-08-06,5,CloseFaster,MoreAll,User ID Display,,Campaign,9,0,2072,86,0,2
2794,2022-05-09,4,CloserTwins,Faceoff,LinkedIn,Video,Campaign,2,0,0,175,0,2
2795,2022-04-26,4,UnfairAdvantage,NaN,Domain Display,Single image,Campaign,4,0,0,188,0,2
2796,2022-09-17,3,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,1,0,0,44,0,1
2797,2022-04-28,1,UnfairAdvantage,NaN,Facebook,Single image,Campaign,3,0,81,186,0,1
2798,2022-08-18,4,UnfairAdvantage,NaN,Domain Display,Single image,Campaign,6,0,0,74,0,2
2799,2022-05-09,5,CloserTwins,Cutdown,LinkedIn,Video,Campaign,2,0,152,175,0,2
2800,2022-06-29,,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,1,0,18,124,0,
2801,2022-05-17,4,CloserTwins,Paperwork,LinkedIn,Video,Campaign,1,0,0,167,0,2
2802,2022-05-07,4,CloserTwins,FasterAll,Domain Display,,Campaign,1,0,0,177,0,2
2803,2022-08-05,4,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,2,0,0,87,0,2
2804,2022-08-10,5,CloseFaster,NoDTI,LinkedIn,Single image,Campaign,1,0,0,82,0,2
2805,2022-08-29,4,CloserTwins,CloseMore,Domain Display,,Campaign,1,0,0,63,0,2
2806,2022-08-15,6,SEM Ads,CloseMore,Google SEM,CPC,Campaign,1,0,0,77,0,3
2807,2022-08-17,5,CloseFaster,MoreAll,Domain Display,,Campaign,5,0,0,75,0,2
2808,2022-09-25,6,SEM Ads,We Are America's CDFI,Google SEM,CPC,Campaign,1,0,0,36,0,3
2809,2022-04-22,4,CloserTwins,ShapeUp,LinkedIn,Video,Campaign,1,0,12,192,0,2
2810,2022-06-11,1,CloserTwins,Paperwork,Facebook,Video,Campaign,1,0,0,142,0,1
2811,2022-08-15,4,UnfairAdvantage,NaN,Domain Display,Single image,Campaign,9,0,0,77,0,2
2812,2022-09-14,5,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,4,0,1789,47,0,2
2813,2022-06-02,1,UnfairAdvantage,NoDTI,Facebook,Single image,Campaign,1,0,0,151,0,1
2814,2022-10-01,4,CloserTwins,CloseMore,Domain Display,,Campaign,1,0,0,30,0,2
