Date,Audience,Target_Group,Creative_Family,Creative_Version,Platform,Ad_Format,Campaign_Traffic,Total_Sessions,Total_Bounces,Total_Duration
16/8/2022,NA,NA,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,1,0,73
16/6/2022,3,1,CloseFaster,NoDTI,Facebook,Single image,Campaign,1,0,0
29/8/2022,1,1,CloseFaster,MoreAll,User ID Display,NA,Campaign,2,0,0
9/6/2022,4,2,UnfairAdvantage,1page,LinkedIn,Single image,Campaign,2,0,50
3/8/2022,1,1,UnfairAdvantage,1099,Domain Display,Single image,Campaign,1,0,0
23/8/2022,4,2,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,3,0,0
14/6/2022,5,2,CloserTwins,Faceoff,Domain Display,NA,Campaign,2,0,0
5/9/2022,1,1,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,2,0,0
30/8/2022,NA,NA,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,2,0,0
15/6/2022,6,3,SEM Ads,We Are America's CDFI,Google SEM,CPC,Campaign,5,0,184
5/5/2022,NA,NA,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,1,0,105
30/4/2022,4,2,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,1,0,0
27/9/2022,4,2,UnfairAdvantage,OnePage,Domain Display,NA,Campaign,2,0,0
13/10/2022,4,2,CloserTwins,CloseMore,Domain Display,NA,Campaign,2,0,0
31/5/2022,6,3,others,ROS5,Trade Media,Housingwire,Campaign,4,0,1403
9/9/2022,1,1,CloserTwins,Faceoff,Domain Display,NA,Campaign,1,0,0
3/5/2022,NA,NA,UnfairAdvantage,OnePage,Domain Display,NA,Campaign,1,0,0
25/9/2022,5,2,CloserTwins,Faceoff,Domain Display,NA,Campaign,8,0,0
2/7/2022,4,2,CloserTwins,CloseMore,Domain Display,NA,Campaign,3,0,0
4/6/2022,4,2,UnfairAdvantage,OnePage,Domain Display,NA,Campaign,1,0,0
23/7/2022,4,2,CloserTwins,Competitors,Domain Display,NA,Campaign,3,0,0
21/8/2022,1,1,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,1,0,0
17/6/2022,2,1,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,1,0,0
30/7/2022,5,2,UnfairAdvantage,1page,LinkedIn,Single image,Campaign,1,0,0
24/5/2022,1,1,CloserTwins,Namaste,Facebook,Video,Campaign,2,0,0
30/6/2022,4,2,UnfairAdvantage,1099,Domain Display,Single image,Campaign,8,0,7
9/9/2022,3,1,UnfairAdvantage,1099,User ID Display,Single image,Campaign,17,0,0
3/7/2022,5,2,CloserTwins,interactive,Domain Display,NA,Campaign,1,1,0
12/7/2022,5,2,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,19,0,37
16/4/2022,6,3,CloserTwins,OTT_15,OTT,Video,Campaign,1,0,0
29/4/2022,6,3,others,ROS1,Trade Media,Housingwire,Campaign,1,0,0
31/5/2022,4,2,CloserTwins,MoreLoansAll,Domain Display,NA,Campaign,1,0,0
20/5/2022,6,3,others,ROS1,Trade Media,Housingwire,Campaign,4,0,50
24/5/2022,2,1,UnfairAdvantage,1page,Facebook,Single image,Campaign,1,0,0
9/5/2022,5,2,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,5,0,0
28/5/2022,6,3,others,ROS1,Trade Media,Housingwire,Campaign,1,0,155
24/7/2022,1,1,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,2,0,0
13/8/2022,3,1,UnfairAdvantage,1099,User ID Display,Single image,Campaign,8,0,0
11/6/2022,1,1,CloserTwins,Cutdown1A,Facebook,Video,Campaign,1,0,0
20/6/2022,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Campaign,90,0,12847
17/9/2022,5,2,CloserTwins,MoreLoansAll,Domain Display,NA,Campaign,2,0,6
5/9/2022,1,1,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,2,0,0
1/9/2022,4,2,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,1,0,0
21/9/2022,4,2,UnfairAdvantage,1099,User ID Display,Single image,Campaign,4,0,0
18/8/2022,4,2,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,2,0,0
25/6/2022,6,3,SEM Ads,We Are America's CDFI,Google SEM,CPC,Campaign,3,0,0
3/5/2022,2,1,CloserTwins,EarlyBird,Facebook,Single image,Campaign,1,0,0
13/7/2022,4,2,UnfairAdvantage,OnePage,Domain Display,NA,Campaign,3,0,0
20/7/2022,2,1,UnfairAdvantage,1099,Domain Display,Single image,Campaign,1,0,0
21/7/2022,5,2,CloseFaster,FasterAll,Domain Display,NA,Campaign,4,0,0
8/8/2022,5,2,CloseFaster,3steps,LinkedIn,Single image,Campaign,1,0,0
26/8/2022,1,1,CloseFaster,FasterAll,User ID Display,NA,Campaign,6,0,0
30/5/2022,1,1,CloserTwins,Paperwork,Facebook,Video,Campaign,2,0,0
2/7/2022,4,2,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,6,0,0
26/5/2022,6,3,others,300x250,Trade Media,National_mortgage_news,Campaign,1,0,0
15/8/2022,4,2,CloseFaster,3steps,LinkedIn,Single image,Campaign,1,0,0
14/10/2022,4,2,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,15,0,0
4/8/2022,2,1,UnfairAdvantage,1099,User ID Display,Single image,Campaign,7,0,0
10/7/2022,2,1,CloserTwins,Faster,Domain Display,NA,Campaign,1,0,0
30/7/2022,4,2,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,4,0,0
6/10/2022,4,2,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,11,0,0
25/5/2022,4,2,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,4,0,0
3/6/2022,3,1,CloserTwins,Cutdown1B,Domain Display,Video,Campaign,2,0,0
12/9/2022,3,1,CloseFaster,MoreAll,User ID Display,NA,Campaign,13,0,0
4/9/2022,4,2,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,5,0,0
2/8/2022,1,1,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,1,0,0
23/9/2022,5,2,UnfairAdvantage,OnePage,Domain Display,NA,Campaign,7,0,0
20/6/2022,1,1,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,1,0,0
4/10/2022,4,2,UnfairAdvantage,OnePage,User ID Display,NA,Campaign,40,0,0
17/5/2022,4,2,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,1,0,0
21/9/2022,5,2,CloseFaster,FasterAll,Domain Display,NA,Campaign,1,0,129
30/7/2022,4,2,CloserTwins,CloseMore,Domain Display,NA,Campaign,2,0,0
22/6/2022,3,1,CloserTwins,Paperwork,Facebook,Video,Campaign,1,0,0
26/5/2022,4,2,CloserTwins,Competitors,Domain Display,NA,Campaign,2,0,0
22/4/2022,NA,NA,NA,NA,NA,NA,General traffic,1757,5,140328
17/10/2022,1,1,UnfairAdvantage,OnePage,User ID Display,NA,Campaign,13,0,0
25/4/2022,1,1,CloserTwins,Faceoff1,Facebook,Video,Campaign,2,0,0
20/5/2022,5,2,CloserTwins,Faceoff,Domain Display,NA,Campaign,1,0,0
25/4/2022,3,1,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,2,0,5
2/6/2022,6,3,others,ROS5,Trade Media,Housingwire,Campaign,2,0,0
16/10/2022,4,2,UnfairAdvantage,NoDTI,User ID Display,NA,Campaign,8,0,1
28/4/2022,5,2,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,1,0,0
11/8/2022,1,1,CloserTwins,MoreLoansAll,Domain Display,NA,Campaign,1,0,0
11/6/2022,5,2,CloserTwins,Faster,Domain Display,NA,Campaign,1,0,0
22/7/2022,4,2,CloserTwins,Cutdown1B,Domain Display,Video,Campaign,1,0,0
17/8/2022,3,1,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,1,0,0
8/5/2022,6,3,SEM Ads,We Are America's CDFI,Google SEM,CPC,Campaign,3,0,0
10/8/2022,3,1,UnfairAdvantage,1099,User ID Display,Single image,Campaign,6,0,2
8/9/2022,5,2,CloserTwins,CloseMore,Domain Display,NA,Campaign,1,0,0
15/8/2022,2,1,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,10,0,0
30/7/2022,1,1,CloseFaster,FasterAll,User ID Display,NA,Campaign,10,0,0
11/10/2022,4,2,UnfairAdvantage,OnePage,User ID Display,NA,Campaign,127,0,0
13/9/2022,6,3,others,ROS1,Trade Media,Housingwire,Campaign,4,0,216
12/10/2022,5,2,CloserTwins,Faceoff,Domain Display,NA,Campaign,4,0,0
2/5/2022,2,1,CloserTwins,EarlyBird,Facebook,Single image,Campaign,2,0,0
14/5/2022,2,1,UnfairAdvantage,1099,Domain Display,Single image,Campaign,1,0,0
29/6/2022,1,1,CloseFaster,MoreAll,Domain Display,NA,Campaign,1,0,0
22/4/2022,4,2,UnfairAdvantage,1page,LinkedIn,Single image,Campaign,2,0,0
30/10/2022,5,2,UnfairAdvantage,OnePage,Domain Display,NA,Campaign,66,0,6863
29/10/2022,4,2,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,62,0,3547
8/6/2022,6,3,SEM Ads,We Are America's CDFI,Google SEM,CPC,Campaign,4,0,292
24/9/2022,4,2,UnfairAdvantage,1099,User ID Display,NA,Campaign,13,0,0
26/7/2022,5,2,CloseFaster,FasterReg,User ID Display,NA,Campaign,1,1,0
17/10/2022,4,2,UnfairAdvantage,1099,User ID Display,Single image,Campaign,6,0,0
13/6/2022,4,2,UnfairAdvantage,1099,User ID Display,Single image,Campaign,12,0,0
3/6/2022,6,3,others,ROS1,Trade Media,Housingwire,Campaign,3,0,64
11/5/2022,4,2,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,5,0,0
11/9/2022,5,2,CloseFaster,FasterAll,Domain Display,NA,Campaign,4,0,0
2/9/2022,6,3,CloserTwins,RTB,Trade Media,Inside_mortgage_finance_newsletter,Campaign,3,0,80
10/10/2022,5,2,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,1,0,0
17/7/2022,4,2,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,2,0,0
30/7/2022,1,1,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,7,0,0
8/9/2022,NA,NA,others,9/6/2022 0:00,NA,NA,General traffic,5,0,0
30/7/2022,1,1,CloserTwins,Faster,Domain Display,NA,Campaign,1,0,0
13/7/2022,5,2,UnfairAdvantage,1099,LinkedIn,Single image,Campaign,4,0,66
3/10/2022,4,2,CloserTwins,CloseMore,Domain Display,NA,Campaign,1,0,0
19/10/2022,NA,NA,UnfairAdvantage,1099,User ID Display,NA,Campaign,2,0,0
31/10/2022,5,2,UnfairAdvantage,1page,LinkedIn,Single image,Campaign,13,0,0
8/5/2022,5,2,CloserTwins,Faster,Domain Display,NA,Campaign,1,0,0
16/7/2022,3,1,UnfairAdvantage,1099,Domain Display,Single image,Campaign,1,0,0
23/6/2022,5,2,CloserTwins,MoreLoansAll,Domain Display,NA,Campaign,2,0,0
9/10/2022,3,1,CloseFaster,FasterAll,User ID Display,NA,Campaign,12,0,0
19/10/2022,4,2,CloserTwins,Cutdown1B,Domain Display,Video,Campaign,2,0,0
25/5/2022,1,1,CloserTwins,Faster,Domain Display,NA,Campaign,1,0,0
28/8/2022,4,2,CloseFaster,FasterAll,User ID Display,NA,Campaign,1,0,0
5/5/2022,3,1,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,1,0,0
30/9/2022,4,2,UnfairAdvantage,1099,LinkedIn,Single image,Campaign,1,0,0
19/8/2022,5,2,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,3,0,0
26/6/2022,4,2,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,5,0,235
30/8/2022,5,2,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,3,0,0
4/10/2022,NA,NA,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,1,0,2
12/6/2022,5,2,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,1,0,0
12/10/2022,4,2,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,5,0,0
2/10/2022,1,1,CloserTwins,CloseMore,Domain Display,NA,Campaign,1,0,0
4/10/2022,6,3,SEM Ads,We Are America's CDFI,Google SEM,CPC,Campaign,1,0,0
4/5/2022,2,1,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,1,0,0
23/9/2022,1,1,CloseFaster,NoDTI,LinkedIn,Single image,Campaign,1,0,0
30/4/2022,1,1,CloserTwins,Faceoff1,Facebook,Video,Campaign,2,0,0
18/4/2022,1,1,CloseFaster,3steps,LinkedIn,Single image,Campaign,1,0,0
13/5/2022,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Campaign,127,0,15326
20/6/2022,6,3,SEM Ads,Close More. Close Faster.,Google SEM,CPC,Campaign,6,0,1076
28/9/2022,4,2,CloserTwins,Competitors,Domain Display,NA,Campaign,1,0,0
24/10/2022,3,1,CloseFaster,FasterAll,User ID Display,NA,Campaign,14,0,0
28/8/2022,5,2,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,8,0,52
17/9/2022,2,1,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,12,0,0
7/5/2022,NA,NA,UnfairAdvantage,1page,LinkedIn,Single image,Campaign,1,0,1
9/9/2022,4,2,CloseFaster,MoreAll,User ID Display,NA,Campaign,34,0,0
5/10/2022,3,1,CloseFaster,FasterAll,User ID Display,NA,Campaign,17,0,2206
3/6/2022,6,3,CloserTwins,RTB,Trade Media,Inside_mortgage_finance_newsletter,Campaign,3,0,44
24/6/2022,6,3,SEM Ads,Close More. Close Faster.,Google SEM,CPC,Campaign,7,0,1998
23/7/2022,4,2,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,3,0,0
15/6/2022,5,2,CloseFaster,MoreAll,Domain Display,NA,Campaign,3,0,0
3/8/2022,4,2,UnfairAdvantage,OnePage,Domain Display,NA,Campaign,1,0,0
4/8/2022,6,3,others,NA,Trade Media,Chrisman,General traffic,1,0,0
30/9/2022,5,2,UnfairAdvantage,OnePage,Domain Display,NA,Campaign,7,0,0
14/10/2022,3,1,CloseFaster,FasterAll,User ID Display,NA,Campaign,16,0,0
11/8/2022,5,2,CloserTwins,MoreLoansAll,Domain Display,NA,Campaign,7,0,740
24/9/2022,3,1,CloseFaster,MoreAll,User ID Display,NA,Campaign,9,0,0
23/4/2022,5,2,CloserTwins,Faceoff,Domain Display,NA,Campaign,4,0,0
29/5/2022,4,2,CloserTwins,Cutdown1B,LinkedIn,Video,Campaign,1,0,0
21/9/2022,5,2,CloseFaster,FasterReg,User ID Display,NA,Campaign,25,24,264
25/10/2022,3,1,UnfairAdvantage,1099,User ID Display,Single image,Campaign,2,0,0
24/7/2022,5,2,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,2,0,0
15/6/2022,6,3,CloserTwins,RTB,Trade Media,Inside_mortgage_finance_newsletter,Campaign,6,0,314
13/6/2022,6,3,SEM Ads,We Are America's CDFI,Google SEM,CPC,Campaign,6,0,2158
18/7/2022,6,3,SEM Ads,We Are America's CDFI,Google SEM,CPC,Campaign,6,0,91
4/8/2022,4,2,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,4,0,0
12/8/2022,3,1,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,3,0,0
11/10/2022,4,2,UnfairAdvantage,1page,LinkedIn,Single image,Campaign,1,0,0
3/9/2022,5,2,CloseFaster,MoreNoReg,User ID Display,NA,Campaign,6,0,0
28/9/2022,5,2,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,4,0,17
3/5/2022,4,2,CloserTwins,Paperwork,LinkedIn,Video,Campaign,1,0,0
18/7/2022,4,2,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,7,0,0
8/8/2022,1,1,UnfairAdvantage,1099,Domain Display,Single image,Campaign,3,0,268
8/5/2022,4,2,UnfairAdvantage,1page,LinkedIn,Single image,Campaign,2,0,0
12/5/2022,2,1,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,1,0,0
22/5/2022,1,1,CloseFaster,3steps,Facebook,Single image,Campaign,1,0,0
10/8/2022,1,1,CloserTwins,MoreLoansAll,Domain Display,NA,Campaign,1,0,0
4/8/2022,1,1,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,1,0,0
16/10/2022,4,2,UnfairAdvantage,NoDTI,Domain Display,NA,Campaign,6,0,0
11/4/2022,6,3,CloserTwins,RTB,Trade Media,Inside_mortgage_finance_newsletter,Campaign,11,0,54
19/6/2022,4,2,UnfairAdvantage,1099,User ID Display,Single image,Campaign,7,0,0
29/8/2022,5,2,CloseFaster,3steps,LinkedIn,Single image,Campaign,3,0,115
10/5/2022,2,1,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,1,0,0
14/10/2022,3,1,UnfairAdvantage,OnePage,User ID Display,NA,Campaign,18,0,0
25/5/2022,5,2,CloserTwins,Namaste,LinkedIn,Video,Campaign,2,0,69
16/8/2022,2,1,CloseFaster,FasterAll,User ID Display,NA,Campaign,3,0,0
26/10/2022,5,2,CloserTwins,Faceoff,Domain Display,NA,Campaign,11,0,332
1/7/2022,5,2,CloserTwins,Faceoff,Domain Display,NA,Campaign,3,0,0
26/10/2022,5,2,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,20,0,464
4/6/2022,5,2,CloseFaster,FasterAll,Domain Display,NA,Campaign,6,0,0
2/6/2022,4,2,CloserTwins,Cutdown1B,Domain Display,Video,Campaign,2,0,0
23/9/2022,1,1,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,2,0,0
25/8/2022,4,2,others,ad1,LinkedIn,NA,Campaign,17,0,6
7/5/2022,1,1,CloserTwins,Faceoff1,LinkedIn,Video,Campaign,2,0,0
20/5/2022,NA,NA,NA,NA,NA,NA,General traffic,4512,474,1336979
18/8/2022,NA,NA,CloserTwins,MoreLoansAll,Domain Display,NA,Campaign,1,0,0
9/7/2022,1,1,CloserTwins,CloseMore,Domain Display,NA,Campaign,2,0,0
27/7/2022,4,2,UnfairAdvantage,1099,LinkedIn,Single image,Campaign,1,0,0
29/4/2022,4,2,CloserTwins,Cutdown1B,LinkedIn,Video,Campaign,2,0,0
22/6/2022,2,1,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,1,0,0
11/8/2022,2,1,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,1,0,0
3/10/2022,4,2,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,8,0,0
13/9/2022,4,2,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,5,0,40
19/6/2022,4,2,CloseFaster,NoDTI,LinkedIn,Single image,Campaign,2,0,0
13/6/2022,5,2,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,6,0,908
3/8/2022,4,2,UnfairAdvantage,1099,User ID Display,Single image,Campaign,4,0,140
31/7/2022,5,2,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,9,0,0
8/9/2022,4,2,UnfairAdvantage,NoDTI,User ID Display,NA,Campaign,28,0,0
6/4/2022,6,3,others,ROS1,Trade Media,Housingwire,Campaign,46,0,86
14/5/2022,5,2,CloserTwins,MoreLoansAll,Domain Display,NA,Campaign,2,0,0
9/8/2022,NA,NA,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,5,0,79
2/10/2022,4,2,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,1,0,0
6/10/2022,5,2,CloseFaster,MoreAll,Domain Display,NA,Campaign,2,0,0
19/9/2022,5,2,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,2,0,0
25/5/2022,6,3,CloserTwins,RTB,Trade Media,Inside_mortgage_finance_newsletter,Campaign,5,0,524
22/7/2022,4,2,CloserTwins,Faceoff,Domain Display,NA,Campaign,3,0,0
25/8/2022,2,1,UnfairAdvantage,1099,User ID Display,Single image,Campaign,4,0,0
20/5/2022,1,1,CloserTwins,Faceoff2,Facebook,Video,Campaign,1,0,0
16/9/2022,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Campaign,106,0,9834
24/7/2022,4,2,UnfairAdvantage,OnePage,Domain Display,NA,Campaign,1,0,0
7/10/2022,3,1,UnfairAdvantage,1099,User ID Display,Single image,Campaign,14,0,0
27/5/2022,1,1,CloserTwins,CloseMore,Domain Display,NA,Campaign,1,0,0
1/5/2022,5,2,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,1,0,0
2/8/2022,2,1,CloseFaster,FasterAll,User ID Display,NA,Campaign,1,0,0
17/6/2022,2,1,CloserTwins,Faceoff2,Facebook,Video,Campaign,1,0,0
21/9/2022,1,1,CloserTwins,Faster,Domain Display,NA,Campaign,1,0,0
23/5/2022,1,1,CloserTwins,Faceoff,Domain Display,NA,Campaign,1,0,0
1/7/2022,6,3,CloserTwins,RTB,Trade Media,Inside_mortgage_finance_newsletter,Campaign,5,0,0
2/7/2022,3,1,CloserTwins,Faceoff,Domain Display,NA,Campaign,1,0,0
26/5/2022,4,2,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,4,0,0
2/8/2022,NA,NA,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,2,0,21
10/7/2022,3,1,UnfairAdvantage,1099,Domain Display,Single image,Campaign,2,0,44
11/10/2022,4,2,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,36,0,0
23/8/2022,5,2,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,2,0,16
2/9/2022,1,1,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,2,0,0
21/8/2022,5,2,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,4,0,0
20/4/2022,4,2,CloserTwins,MoreLoans,LinkedIn,Video,Campaign,2,0,0
12/6/2022,1,1,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,1,0,0
5/6/2022,1,1,UnfairAdvantage,All,Facebook,Carousel,Campaign,1,0,0
22/10/2022,5,2,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,16,0,4
21/5/2022,3,1,UnfairAdvantage,1099,Domain Display,Single image,Campaign,1,0,0
27/5/2022,1,1,CloserTwins,Cutdown1B,LinkedIn,Video,Campaign,1,0,0
21/8/2022,2,1,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,2,0,0
8/9/2022,4,2,CloserTwins,Competitors,Domain Display,NA,Campaign,2,0,0
5/5/2022,5,2,UnfairAdvantage,1099,LinkedIn,Single image,Campaign,3,0,0
29/8/2022,NA,NA,others,August,NA,NA,General traffic,7,0,50
6/5/2022,1,1,CloserTwins,ShapeUp,LinkedIn,Video,Campaign,1,0,0
11/5/2022,6,3,CloserTwins,OTT_30QR,OTT,Video,Campaign,2,0,0
12/6/2022,1,1,CloserTwins,Cutdown1A,Facebook,Video,Campaign,2,0,0
28/7/2022,1,1,UnfairAdvantage,NoDTI,Facebook,Single image,Campaign,1,0,0
27/4/2022,4,2,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,5,0,0
24/8/2022,3,1,UnfairAdvantage,1099,Domain Display,Single image,Campaign,1,0,0
27/10/2022,NA,NA,NA,NA,NA,NA,General traffic,2835,394,1225944
17/5/2022,4,2,UnfairAdvantage,1099,Domain Display,Single image,Campaign,1,0,0
9/5/2022,3,1,CloserTwins,Cutdown1A,LinkedIn,Video,Campaign,2,0,275
31/5/2022,1,1,UnfairAdvantage,1page,LinkedIn,Single image,Campaign,1,0,0
4/8/2022,4,2,CloseFaster,3steps,LinkedIn,Single image,Campaign,3,0,0
30/6/2022,NA,NA,NA,NA,NA,NA,General traffic,2664,406,747412
14/6/2022,4,2,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,1,0,0
23/9/2022,2,1,CloseFaster,MoreAll,User ID Display,NA,Campaign,7,0,0
20/8/2022,1,1,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,5,0,0
20/4/2022,1,1,CloserTwins,Faceoff1,LinkedIn,Video,Campaign,1,0,0
17/7/2022,5,2,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,13,0,1561
25/10/2022,3,1,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,1,0,0
19/10/2022,4,2,UnfairAdvantage,1099,Domain Display,NA,Campaign,74,0,2246
27/7/2022,5,2,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,3,0,0
2/6/2022,1,1,CloserTwins,Faceoff,Domain Display,NA,Campaign,1,0,0
9/5/2022,1,1,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,1,0,0
1/5/2022,3,1,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,1,0,0
15/8/2022,3,1,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,8,0,2
3/7/2022,5,2,CloserTwins,MoreLoansAll,Domain Display,NA,Campaign,5,0,0
29/4/2022,4,2,CloseFaster,NoDTI,LinkedIn,Single image,Campaign,1,0,0
4/10/2022,1,1,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,25,0,0
24/7/2022,3,1,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,1,0,0
2/9/2022,NA,NA,CloserTwins,Faster,Domain Display,NA,Campaign,1,0,0
24/6/2022,5,2,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,1,0,27
10/7/2022,3,1,CloserTwins,Cutdown1B,Domain Display,Video,Campaign,1,0,0
8/9/2022,5,2,CloseFaster,FasterReg,User ID Display,NA,Campaign,34,32,379
12/8/2022,4,2,CloseFaster,NoDTI,LinkedIn,Single image,Campaign,3,0,0
8/5/2022,1,1,UnfairAdvantage,OnePage,Domain Display,NA,Campaign,2,0,0
1/9/2022,4,2,UnfairAdvantage,OnePage,Domain Display,NA,Campaign,2,0,0
4/5/2022,5,2,UnfairAdvantage,1099,Domain Display,Single image,Campaign,5,0,188
28/4/2022,1,1,CloserTwins,Cutdown1A,LinkedIn,Video,Campaign,1,0,0
15/6/2022,4,2,UnfairAdvantage,1099,LinkedIn,Single image,Campaign,2,0,2
14/9/2022,3,1,CloserTwins,Faster,Domain Display,NA,Campaign,1,0,0
23/10/2022,5,2,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,17,0,27
26/5/2022,3,1,CloserTwins,ShapeUp,Facebook,Video,Campaign,1,0,0
2/5/2022,5,2,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,6,0,0
25/4/2022,5,2,CloserTwins,MoreLoansAll,Domain Display,NA,Campaign,1,0,0
27/8/2022,1,1,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,5,0,0
15/6/2022,6,3,SEM Ads,Close More. Close Faster.,Google SEM,CPC,Campaign,10,0,82
25/6/2022,5,2,UnfairAdvantage,1099,Domain Display,Single image,Campaign,1,0,0
26/7/2022,5,2,CloseFaster,3steps,LinkedIn,Single image,Campaign,2,0,360
28/8/2022,NA,NA,others,August/,NA,NA,General traffic,1,0,0
16/5/2022,4,2,CloserTwins,Competitors,Domain Display,NA,Campaign,2,0,0
28/7/2022,5,2,UnfairAdvantage,1099,Domain Display,Single image,Campaign,15,0,0
12/10/2022,4,2,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,5,0,533
13/9/2022,1,1,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,9,0,0
17/10/2022,6,3,CloserTwins,RTB,Trade Media,Inside_mortgage_finance_newsletter,Campaign,8,0,0
11/4/2022,6,3,CompetitiveOpportunity,Cancelingyourlock,LinkedIn,Single image,Campaign,3,0,0
30/4/2022,2,1,UnfairAdvantage,All,Facebook,Carousel,Campaign,1,0,0
28/8/2022,5,2,CloserTwins,MoreLoansAll,Domain Display,NA,Campaign,1,0,11
10/9/2022,NA,NA,others,August,NA,NA,General traffic,8,0,31
