Date,Audience,Target_Group,Creative_Family,Creative_Version,Platform,Ad_Format,Campaign_Traffic,Total_Sessions,Total_Bounces,Total_Duration
3/5/2022,6,3,CloserTwins,RTB,Trade Media,Inside_mortgage_finance_newsletter,Campaign,13,0,0
27/7/2022,5,2,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,5,0,0
24/6/2022,4,2,CloserTwins,Cutdown1B,Domain Display,Video,Campaign,3,0,0
2/7/2022,1,1,CloserTwins,ShapeUp,Facebook,Video,Campaign,1,0,0
2/8/2022,1,1,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,14,0,0
6/9/2022,4,2,UnfairAdvantage,1page,LinkedIn,Single image,Campaign,2,0,0
18/10/2022,5,2,UnfairAdvantage,1099,LinkedIn,Single image,Campaign,1,0,0
31/7/2022,4,2,CloserTwins,Faceoff,Domain Display,NA,Campaign,1,0,0
8/7/2022,NA,NA,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,1,0,6
8/4/2022,6,3,CompetitiveOpportunity,Theycancelweclose,Domain Display,Single image,Campaign,4,0,0
19/9/2022,4,2,UnfairAdvantage,1099,User ID Display,NA,Campaign,26,0,0
23/5/2022,5,2,CloserTwins,CloseMore,Domain Display,NA,Campaign,1,0,0
10/6/2022,5,2,CloserTwins,Competitors,Domain Display,NA,Campaign,3,0,120
11/8/2022,1,1,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,6,0,0
27/10/2022,5,2,UnfairAdvantage,OnePage,Domain Display,NA,Campaign,80,0,3626
13/5/2022,2,1,CloserTwins,Cutdown1B,Domain Display,Video,Campaign,2,0,0
24/6/2022,4,2,CloseFaster,FasterAll,User ID Display,NA,Campaign,10,0,0
19/10/2022,NA,NA,others,EGC,NA,NA,General traffic,1,0,0
28/6/2022,6,3,others,300x250,Trade Media,National_mortgage_news,Campaign,1,0,0
8/9/2022,4,2,others,ad1,LinkedIn,NA,Campaign,15,0,0
24/10/2022,5,2,CloseFaster,FasterAll,Domain Display,NA,Campaign,7,0,461
12/4/2022,6,3,CompetitiveOpportunity,Cancelingyourlock,Domain Display,Single image,Campaign,29,0,780
7/7/2022,5,2,UnfairAdvantage,1099,LinkedIn,Single image,Campaign,3,0,0
27/6/2022,4,2,CloserTwins,Faster,Domain Display,NA,Campaign,1,0,0
3/10/2022,4,2,UnfairAdvantage,OnePage,User ID Display,NA,Campaign,19,0,0
23/8/2022,5,2,UnfairAdvantage,OnePage,Domain Display,NA,Campaign,3,0,0
9/5/2022,1,1,UnfairAdvantage,OnePage,Domain Display,NA,Campaign,1,0,0
11/8/2022,3,1,CloserTwins,MoreLoans,Facebook,Video,Campaign,1,0,0
15/9/2022,1,1,UnfairAdvantage,OnePage,User ID Display,NA,Campaign,10,0,0
20/8/2022,4,2,CloseFaster,FasterAll,User ID Display,NA,Campaign,2,0,0
20/6/2022,4,2,CloseFaster,3steps,LinkedIn,Single image,Campaign,1,0,0
19/10/2022,4,2,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,5,0,0
8/6/2022,5,2,CloserTwins,Faster,Domain Display,NA,Campaign,1,0,0
14/10/2022,2,1,UnfairAdvantage,1099,User ID Display,Single image,Campaign,10,0,0
17/6/2022,4,2,CloseFaster,3steps,LinkedIn,Single image,Campaign,1,0,0
19/9/2022,3,1,UnfairAdvantage,1099,User ID Display,Single image,Campaign,11,0,31
22/10/2022,5,2,CloserTwins,Faceoff,Domain Display,NA,Campaign,64,0,4253
6/5/2022,1,1,CloseFaster,3steps,Facebook,Single image,Campaign,1,0,0
9/5/2022,5,2,CloserTwins,MoreLoansAll,Domain Display,NA,Campaign,1,0,0
23/6/2022,NA,NA,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,1,0,0
25/4/2022,5,2,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,10,0,976
2/8/2022,4,2,CloseFaster,MoreAll,Domain Display,NA,Campaign,1,0,0
4/10/2022,4,2,CloserTwins,Competitors,Domain Display,NA,Campaign,1,0,0
30/7/2022,6,3,SEM Ads,Close More. Close Faster.,Google SEM,CPC,Campaign,1,0,283
1/10/2022,6,3,CloserTwins,OTT_30QR,OTT,Video,Campaign,1,0,0
23/6/2022,3,1,UnfairAdvantage,OnePage,Domain Display,NA,Campaign,1,0,0
7/6/2022,5,2,CloserTwins,Faceoff,Domain Display,NA,Campaign,3,0,0
1/7/2022,5,2,CloseFaster,3steps,LinkedIn,Single image,Campaign,1,0,0
12/8/2022,4,2,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,5,0,0
19/8/2022,6,3,others,ROS5,Trade Media,Housingwire,Campaign,2,0,0
18/5/2022,5,2,CloserTwins,Paperwork,LinkedIn,Video,Campaign,1,0,0
6/6/2022,6,3,others,300x250,Trade Media,National_mortgage_news,Campaign,3,0,136
3/7/2022,4,2,UnfairAdvantage,1page,LinkedIn,Single image,Campaign,3,0,569
25/9/2022,5,2,CloseFaster,3steps,LinkedIn,Single image,Campaign,2,0,0
23/10/2022,3,1,CloserTwins,Faceoff,Domain Display,NA,Campaign,1,0,0
25/6/2022,4,2,CloserTwins,Competitors,Domain Display,NA,Campaign,2,0,0
29/6/2022,5,2,CloserTwins,Faceoff,Domain Display,NA,Campaign,6,0,0
30/4/2022,6,3,CloserTwins,RTB,Trade Media,Inside_mortgage_finance_newsletter,Campaign,2,0,0
3/5/2022,2,1,CloserTwins,Faceoff,Domain Display,NA,Campaign,1,0,0
24/6/2022,NA,NA,CompetitiveOpportunity,Cancelingyourlock,LinkedIn,Single image,Campaign,1,0,0
16/7/2022,3,1,CloserTwins,Cutdown1B,Facebook,Video,Campaign,1,0,0
