Date,Campaign,Audience,Target_Group,Creative_Family,Creative_Version,Platform,Ad_Format,Goal,Completions,Campaign_Traffic
2/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
3/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
3/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
27/9/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic
27/9/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,5,General traffic
28/9/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,4,General traffic
29/9/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
29/9/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,4,General traffic
1/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
2/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
3/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
3/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,3,General traffic
28/9/2022,NA,NA,NA,NA,NA,NA,NA,Form Submission,1,General traffic
29/9/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
27/9/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,5,General traffic
28/9/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,4,General traffic
29/9/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,4,General traffic
30/9/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
30/9/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,3,General traffic
1/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
3/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,4,General traffic
29/9/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
30/9/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
28/9/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
28/9/2022,NA,NA,NA,NA,NA,NA,NA,Broker Login,1,General traffic
27/9/2022,adhocwhol,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic
28/9/2022,adhocwhol,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
29/9/2022,adhocwhol,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic
2/10/2022,adhocwhol,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
3/10/2022,adhocwhol,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
27/9/2022,adhocwhol,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
27/9/2022,NBNurture,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
29/9/2022,NBNurture,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
3/10/2022,adhocwhol,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
27/9/2022,adhocwhol,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
27/9/2022,NBNurture,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
28/9/2022,adhocwhol,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
29/9/2022,NBNurture,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
27/9/2022,NBNurture,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
27/9/2022,NBNurture,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
29/9/2022,NBNurture,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
3/10/2022,NBNurture,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
30/9/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
30/9/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
30/9/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
28/9/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
27/9/2022,Anti_Inflation,NA,NA,others,August,NA,NA,Start Closing More,1,General traffic
27/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),2,Campaign
27/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Start Closing More,1,Campaign
27/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Start Closing More,1,Campaign
27/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Our Story),1,Campaign
27/9/2022,Brand_Phrase,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
27/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
27/9/2022,Brand_Phrase,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Get Approved,1,Campaign
27/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
28/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),2,Campaign
28/9/2022,Brand_Phrase,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Start Closing More,1,Campaign
29/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),3,Campaign
29/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
29/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
29/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
29/9/2022,Brand_Phrase,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
29/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Our Story),1,Campaign
29/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Get Approved,1,Campaign
29/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
29/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
30/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
30/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Closer Twins Banner),1,Campaign
30/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
30/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
30/9/2022,Brand_Phrase,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
30/9/2022,Brand_Phrase,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
30/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Get Approved,1,Campaign
30/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Get Approved,1,Campaign
30/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Our Story),1,Campaign
30/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Get Approved,1,Campaign
1/10/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
1/10/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
3/10/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),3,Campaign
3/10/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
3/10/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
3/10/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Start Closing More,1,Campaign
3/10/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
3/10/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
3/10/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
3/10/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Closer Twins Banner),1,Campaign
27/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
28/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
3/10/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
30/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
1/10/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
3/10/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),2,Campaign
27/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Get Approved,1,Campaign
27/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),6,Campaign
27/9/2022,Brand_Phrase,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
27/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Our Story),1,Campaign
27/9/2022,NB_Wholesale_Phrase,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
27/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
28/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),5,Campaign
28/9/2022,Brand_Phrase,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
29/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),2,Campaign
29/9/2022,Brand_Phrase,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
29/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
29/9/2022,Brand_Phrase,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
29/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
29/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
29/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
30/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
30/9/2022,Brand_Phrase,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),3,Campaign
30/9/2022,NB_Wholesale_Phrase,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),2,Campaign
30/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
30/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
30/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
30/9/2022,Brand_Phrase,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),3,Campaign
30/9/2022,Brand_Phrase,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Our Story),1,Campaign
1/10/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
3/10/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),6,Campaign
3/10/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
3/10/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
29/9/2022,Brand_Phrase,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Get Approved,1,Campaign
29/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Our Story),1,Campaign
3/10/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Our Story),1,Campaign
27/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
29/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
3/10/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Start Closing More,1,Campaign
27/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
29/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Start Closing More,1,Campaign
30/9/2022,Brand_Phrase,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Our Story),1,Campaign
27/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),3,Campaign
28/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),2,Campaign
28/9/2022,Brand_Phrase,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
29/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
30/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),2,Campaign
30/9/2022,NB_Wholesale_Phrase,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
3/10/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),2,Campaign
27/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
27/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Start Closing More,3,Campaign
28/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Start Closing More,3,Campaign
29/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
29/9/2022,Brand_Phrase,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
29/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Start Closing More,1,Campaign
30/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Start Closing More,2,Campaign
30/9/2022,NB_Wholesale_Phrase,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Start Closing More,2,Campaign
3/10/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Start Closing More,1,Campaign
29/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Start Closing More,1,Campaign
30/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
27/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Form Submission,1,Campaign
29/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Form Submission,1,Campaign
3/10/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Start Closing More,1,Campaign
27/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Our Story),1,Campaign
29/9/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Start Closing More,1,Campaign
1/10/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
28/9/2022,FY22_broker_campaign_ph2,4,2,CloseFaster,3steps,LinkedIn,Single image,Learn More (Community Mortgage),1,Campaign
30/9/2022,FY22_broker_campaign_ph2,NA,NA,CloseFaster,3steps,LinkedIn,Single image,Learn More (Community Mortgage),1,Campaign
30/9/2022,FY22_broker_campaign_ph2,NA,NA,CloseFaster,3steps,LinkedIn,Single image,Learn More (Community Mortgage),1,Campaign
27/9/2022,FY23_broker_campaign,3,1,CloseFaster,FasterAll,User ID Display,NA,Learn More (Our Story),1,Campaign
3/10/2022,FY23_broker_campaign,3,1,CloseFaster,MoreAll,User ID Display,NA,Learn More (Closer Twins Banner),1,Campaign
3/10/2022,FY23_broker_campaign,NA,NA,CloseFaster,MoreAll,User ID Display,NA,Get Approved,1,Campaign
29/9/2022,FY23_broker_campaign,4,2,CloseFaster,MoreAll,User ID Display,NA,Learn More (Closer Twins Banner),1,Campaign
30/9/2022,FY22_broker_campaign_ph2,5,2,CloseFaster,NoDTI,LinkedIn,Single image,Learn More (Community Mortgage),1,Campaign
29/9/2022,FY22_broker_campaign_ph2,1,1,CloserTwins,EarlyBird,LinkedIn,Single image,Get Approved,1,Campaign
29/9/2022,FY22_broker_campaign_ph2,NA,NA,CloserTwins,EarlyBird,LinkedIn,Single image,Get Approved,1,Campaign
27/9/2022,FY23_broker_campaign,4,2,CloserTwins,MoreLoansAll,User ID Display,NA,Learn More (Community Mortgage),1,Campaign
27/9/2022,FY23_change_digital_phase3,6,3,others,ROS1,Trade Media,Housingwire,Learn More (Community Mortgage),1,Campaign
28/9/2022,FY23_change_digital_phase3,6,3,others,ROS1,Trade Media,Housingwire,Get Approved,1,Campaign
1/10/2022,FY23_change_digital_phase3,6,3,others,ROS1,Trade Media,Housingwire,Get Approved,1,Campaign
1/10/2022,FY22_broker_campaign_ph2,5,2,UnfairAdvantage,1099,LinkedIn,Single image,Learn More (Community Mortgage),1,Campaign
1/10/2022,FY22_broker_campaign_ph2,NA,NA,UnfairAdvantage,1099,LinkedIn,Single image,Learn More (Community Mortgage),1,Campaign
29/9/2022,FY23_broker_campaign,4,2,UnfairAdvantage,1099,User ID Display,NA,Start Closing More,1,Campaign
2/10/2022,FY22_broker_campaign_ph2,5,2,UnfairAdvantage,1page,LinkedIn,Single image,Start Closing More,1,Campaign
29/9/2022,FY22_broker_campaign_ph2,4,2,UnfairAdvantage,NoDTI,LinkedIn,Single image,Learn More (Closer Twins Banner),1,Campaign
29/9/2022,FY22_broker_campaign_ph2,NA,NA,UnfairAdvantage,NoDTI,LinkedIn,Single image,Start Closing More,1,Campaign
29/9/2022,FY22_broker_campaign_ph2,NA,NA,UnfairAdvantage,NoDTI,LinkedIn,Single image,Get Approved,1,Campaign
29/9/2022,FY22_broker_campaign_ph2,NA,NA,UnfairAdvantage,NoDTI,LinkedIn,Single image,Learn More (Community Mortgage),1,Campaign
28/9/2022,FY23_broker_campaign,4,2,UnfairAdvantage,NoDTI,Domain Display,Single image,Learn More (Closer Twins Banner),1,Campaign
3/10/2022,NB_Wholesale_Phrase,6,3,SEM Ads,We Are America's CDFI,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
3/10/2022,NB_Wholesale_Phrase,6,3,SEM Ads,We Are America's CDFI,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
2/10/2022,NB_Wholesale_Exact,6,3,SEM Ads,We Are America's CDFI,Google SEM,CPC,Form Submission,1,Campaign
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Get Approved,1,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),21,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,4,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Get Approved,4,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),20,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,2,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Get Approved,2,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),23,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,4,General traffic
7/10/2022,NA,NA,NA,NA,NA,NA,NA,Get Approved,1,General traffic
7/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),25,General traffic
7/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
8/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),3,General traffic
9/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic
10/10/2022,NA,NA,NA,NA,NA,NA,NA,Get Approved,1,General traffic
10/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),19,General traffic
10/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,2,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),3,General traffic
8/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic
10/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
10/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),6,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),4,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),4,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
7/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),7,General traffic
10/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,2,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
7/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
7/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
8/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
7/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),33,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),38,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),37,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,2,General traffic
7/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),26,General traffic
8/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),5,General traffic
9/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),4,General traffic
10/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),20,General traffic
10/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic
7/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic
7/10/2022,NA,NA,NA,NA,NA,NA,NA,Get Approved,1,General traffic
10/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),6,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),3,General traffic
7/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),5,General traffic
8/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
10/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),16,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),18,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),13,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Our Story),2,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
7/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),11,General traffic
10/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),7,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),4,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,7,General traffic
